type	time	latitude	longitude	altitude (m)	distance (km)	hr	name	desc
T	2016-11-13 09:51:34	51.430275000	-2.740696000	18.0	0.001	93	Burrington_Coombe_Blagdon_Butcombe_Barrow_Gurney_Belmont	141:34 - 55.3km
T	2016-11-13 09:51:35	51.430273000	-2.740718000	18.0	0.003	90		
T	2016-11-13 09:51:36	51.430263000	-2.740749000	18.0	0.005	89		
T	2016-11-13 09:51:38	51.430220000	-2.740830000	18.0	0.010	90		
T	2016-11-13 09:51:43	51.430099000	-2.741039000	18.0	0.028	90		
T	2016-11-13 09:51:46	51.430021000	-2.741201000	18.0	0.041	93		
T	2016-11-13 09:51:47	51.429996000	-2.741254000	18.0	0.046	97		
T	2016-11-13 09:51:48	51.429968000	-2.741308000	18.0	0.050	97		
T	2016-11-13 09:51:49	51.429942000	-2.741364000	18.0	0.055	99		
T	2016-11-13 09:51:51	51.429882000	-2.741478000	18.0	0.065	102		
T	2016-11-13 09:51:58	51.429649000	-2.741907000	18.0	0.104	104		
T	2016-11-13 09:52:01	51.429668000	-2.742173000	18.0	0.124	105		
T	2016-11-13 09:52:03	51.429715000	-2.742316000	18.0	0.135	107		
T	2016-11-13 09:52:05	51.429755000	-2.742436000	18.0	0.145	108		
T	2016-11-13 09:52:06	51.429774000	-2.742500000	18.4	0.150	108		
T	2016-11-13 09:52:07	51.429794000	-2.742564000	18.8	0.155	109		
T	2016-11-13 09:52:08	51.429817000	-2.742617000	19.2	0.160	109		
T	2016-11-13 09:52:09	51.429842000	-2.742662000	19.6	0.164	110		
T	2016-11-13 09:52:10	51.429869000	-2.742699000	20.0	0.168	110		
T	2016-11-13 09:52:11	51.429900000	-2.742736000	20.0	0.172	112		
T	2016-11-13 09:52:12	51.429933000	-2.742777000	20.0	0.176	114		
T	2016-11-13 09:52:13	51.429967000	-2.742819000	20.6	0.181	115		
T	2016-11-13 09:52:14	51.430002000	-2.742855000	21.0	0.185	116		
T	2016-11-13 09:52:15	51.430038000	-2.742881000	21.4	0.190	116		
T	2016-11-13 09:52:16	51.430078000	-2.742912000	21.8	0.195	116		
T	2016-11-13 09:52:17	51.430121000	-2.742943000	22.2	0.200	116		
T	2016-11-13 09:52:20	51.430257000	-2.743037000	22.2	0.216	119		
T	2016-11-13 09:52:23	51.430398000	-2.743131000	22.2	0.232	120		
T	2016-11-13 09:52:27	51.430557000	-2.743306000	22.2	0.254	120		
T	2016-11-13 09:52:29	51.430614000	-2.743438000	22.2	0.265	121		
T	2016-11-13 09:52:33	51.430638000	-2.743763000	22.2	0.288	123		
T	2016-11-13 09:52:34	51.430632000	-2.743842000	22.2	0.294	123		
T	2016-11-13 09:52:36	51.430623000	-2.744001000	22.2	0.305	123		
T	2016-11-13 09:52:38	51.430649000	-2.744156000	22.6	0.316	123		
T	2016-11-13 09:52:39	51.430676000	-2.744226000	23.0	0.322	122		
T	2016-11-13 09:52:40	51.430714000	-2.744271000	23.6	0.327	122		
T	2016-11-13 09:52:41	51.430746000	-2.744325000	24.0	0.333	122		
T	2016-11-13 09:52:42	51.430758000	-2.744401000	24.4	0.338	122		
T	2016-11-13 09:52:43	51.430755000	-2.744475000	24.4	0.344	122		
T	2016-11-13 09:52:45	51.430711000	-2.744616000	24.4	0.355	128		
T	2016-11-13 09:52:46	51.430682000	-2.744685000	24.4	0.361	128		
T	2016-11-13 09:52:53	51.430455000	-2.745219000	24.4	0.406	125		
T	2016-11-13 09:52:56	51.430340000	-2.745448000	24.4	0.427	124		
T	2016-11-13 09:52:58	51.430246000	-2.745587000	24.4	0.441	125		
T	2016-11-13 09:53:04	51.429921000	-2.745924000	24.4	0.483	122		
T	2016-11-13 09:53:09	51.429593000	-2.746095000	24.4	0.520	121		
T	2016-11-13 09:53:16	51.429097000	-2.746274000	24.4	0.576	120		
T	2016-11-13 09:53:24	51.428596000	-2.746707000	24.4	0.640	121		
T	2016-11-13 09:53:29	51.428284000	-2.747014000	24.4	0.681	121		
T	2016-11-13 09:53:30	51.428219000	-2.747057000	24.4	0.689	122		
T	2016-11-13 09:53:33	51.428001000	-2.747157000	24.0	0.714	121		
T	2016-11-13 09:53:34	51.427926000	-2.747179000	23.6	0.723	122		
T	2016-11-13 09:53:35	51.427852000	-2.747197000	23.2	0.731	122		
T	2016-11-13 09:53:36	51.427776000	-2.747216000	22.6	0.740	123		
T	2016-11-13 09:53:37	51.427698000	-2.747238000	22.2	0.748	123		
T	2016-11-13 09:53:44	51.427157000	-2.747432000	22.2	0.810	121		
T	2016-11-13 09:53:45	51.427075000	-2.747480000	22.2	0.819	121		
T	2016-11-13 09:53:46	51.426991000	-2.747534000	21.6	0.829	121		
T	2016-11-13 09:53:47	51.426898000	-2.747591000	21.0	0.840	122		
T	2016-11-13 09:53:48	51.426804000	-2.747641000	20.4	0.851	122		
T	2016-11-13 09:53:49	51.426718000	-2.747679000	19.8	0.861	122		
T	2016-11-13 09:53:50	51.426641000	-2.747709000	19.2	0.871	122		
T	2016-11-13 09:53:53	51.426427000	-2.747808000	19.2	0.896	122		
T	2016-11-13 09:53:55	51.426289000	-2.747870000	19.6	0.912	122		
T	2016-11-13 09:53:56	51.426227000	-2.747904000	20.0	0.919	122		
T	2016-11-13 09:53:57	51.426164000	-2.747944000	20.6	0.927	122		
T	2016-11-13 09:53:58	51.426107000	-2.748002000	21.0	0.934	122		
T	2016-11-13 09:53:59	51.426054000	-2.748060000	21.4	0.942	123		
T	2016-11-13 09:54:00	51.426003000	-2.748115000	21.4	0.949	123		
T	2016-11-13 09:54:06	51.425723000	-2.748539000	21.8	0.992	125		
T	2016-11-13 09:54:07	51.425684000	-2.748617000	22.2	0.999	125		
T	2016-11-13 09:54:08	51.425647000	-2.748698000	22.8	1.006	126		
T	2016-11-13 09:54:09	51.425611000	-2.748782000	23.2	1.014	126		
T	2016-11-13 09:54:10	51.425575000	-2.748867000	23.6	1.021	127		
T	2016-11-13 09:54:12	51.425511000	-2.749042000	23.6	1.035	128		
T	2016-11-13 09:54:20	51.425273000	-2.749760000	23.6	1.091	131		
T	2016-11-13 09:54:27	51.425122000	-2.750386000	23.6	1.141	130		
T	2016-11-13 09:54:34	51.424973000	-2.751045000	23.6	1.190	127		
T	2016-11-13 09:54:36	51.424927000	-2.751198000	23.6	1.203	125		
T	2016-11-13 09:54:38	51.424891000	-2.751293000	23.6	1.211	123		
T	2016-11-13 09:54:43	51.425044000	-2.751524000	23.6	1.235	122		
T	2016-11-13 09:54:46	51.425198000	-2.751606000	23.6	1.253	122		
T	2016-11-13 09:54:48	51.425231000	-2.751788000	23.6	1.266	122		
T	2016-11-13 09:54:51	51.425169000	-2.752066000	23.6	1.285	122		
T	2016-11-13 09:54:52	51.425143000	-2.752171000	23.6	1.292	122		
T	2016-11-13 09:54:58	51.424989000	-2.752817000	23.6	1.338	124		
T	2016-11-13 09:55:02	51.424881000	-2.753269000	23.6	1.371	121		
T	2016-11-13 09:55:05	51.424809000	-2.753608000	23.6	1.396	117		
T	2016-11-13 09:55:06	51.424763000	-2.753703000	23.6	1.404	116		
T	2016-11-13 09:55:08	51.424630000	-2.753709000	23.6	1.419	115		
T	2016-11-13 09:55:10	51.424498000	-2.753639000	23.6	1.434	114		
T	2016-11-13 09:55:11	51.424424000	-2.753610000	23.6	1.442	115		
T	2016-11-13 09:55:14	51.424202000	-2.753559000	23.6	1.466	118		
T	2016-11-13 09:55:16	51.424045000	-2.753555000	23.2	1.482	121		
T	2016-11-13 09:55:17	51.423967000	-2.753569000	22.2	1.490	122		
T	2016-11-13 09:55:18	51.423897000	-2.753639000	22.2	1.499	122		
T	2016-11-13 09:55:19	51.423829000	-2.753689000	21.8	1.507	123		
T	2016-11-13 09:55:20	51.423769000	-2.753763000	21.2	1.516	123		
T	2016-11-13 09:55:21	51.423717000	-2.753844000	21.2	1.524	124		
T	2016-11-13 09:55:24	51.423634000	-2.754120000	21.2	1.547	124		
T	2016-11-13 09:55:25	51.423627000	-2.754208000	21.6	1.553	124		
T	2016-11-13 09:55:26	51.423618000	-2.754290000	22.0	1.560	124		
T	2016-11-13 09:55:27	51.423611000	-2.754369000	22.6	1.566	124		
T	2016-11-13 09:55:28	51.423604000	-2.754449000	23.0	1.572	124		
T	2016-11-13 09:55:29	51.423598000	-2.754522000	23.4	1.577	125		
T	2016-11-13 09:55:31	51.423586000	-2.754660000	23.8	1.587	126		
T	2016-11-13 09:55:32	51.423584000	-2.754732000	24.2	1.592	127		
T	2016-11-13 09:55:33	51.423583000	-2.754805000	24.6	1.598	127		
T	2016-11-13 09:55:34	51.423581000	-2.754884000	25.0	1.603	127		
T	2016-11-13 09:55:35	51.423581000	-2.754962000	25.6	1.608	127		
T	2016-11-13 09:55:36	51.423580000	-2.755043000	25.6	1.613	127		
T	2016-11-13 09:55:39	51.423575000	-2.755296000	25.6	1.631	130		
T	2016-11-13 09:55:44	51.423590000	-2.755763000	25.6	1.662	130		
T	2016-11-13 09:55:51	51.423659000	-2.756493000	25.6	1.713	131		
T	2016-11-13 09:55:57	51.423742000	-2.757001000	26.0	1.751	132		
T	2016-11-13 09:55:58	51.423758000	-2.757082000	26.4	1.757	132		
T	2016-11-13 09:55:59	51.423773000	-2.757155000	26.8	1.762	132		
T	2016-11-13 09:56:00	51.423787000	-2.757222000	27.2	1.767	133		
T	2016-11-13 09:56:01	51.423804000	-2.757290000	27.6	1.772	133		
T	2016-11-13 09:56:03	51.423837000	-2.757422000	28.0	1.783	134		
T	2016-11-13 09:56:04	51.423853000	-2.757484000	28.4	1.788	134		
T	2016-11-13 09:56:05	51.423869000	-2.757546000	29.0	1.792	135		
T	2016-11-13 09:56:06	51.423885000	-2.757606000	29.4	1.797	135		
T	2016-11-13 09:56:07	51.423902000	-2.757667000	29.8	1.802	135		
T	2016-11-13 09:56:11	51.423963000	-2.757903000	29.8	1.820	138		
T	2016-11-13 09:56:14	51.424010000	-2.758082000	30.2	1.834	138		
T	2016-11-13 09:56:15	51.424025000	-2.758142000	30.6	1.838	137		
T	2016-11-13 09:56:16	51.424041000	-2.758198000	31.0	1.843	137		
T	2016-11-13 09:56:17	51.424059000	-2.758253000	31.4	1.847	137		
T	2016-11-13 09:56:18	51.424076000	-2.758311000	31.8	1.852	137		
T	2016-11-13 09:56:24	51.424170000	-2.758658000	32.2	1.879	138		
T	2016-11-13 09:56:25	51.424186000	-2.758718000	32.6	1.883	138		
T	2016-11-13 09:56:26	51.424202000	-2.758775000	33.2	1.888	138		
T	2016-11-13 09:56:27	51.424220000	-2.758836000	33.6	1.893	138		
T	2016-11-13 09:56:28	51.424237000	-2.758898000	34.0	1.897	138		
T	2016-11-13 09:56:34	51.424324000	-2.759269000	34.4	1.925	139		
T	2016-11-13 09:56:35	51.424338000	-2.759334000	35.0	1.929	139		
T	2016-11-13 09:56:36	51.424353000	-2.759400000	35.4	1.934	139		
T	2016-11-13 09:56:37	51.424367000	-2.759468000	35.8	1.939	139		
T	2016-11-13 09:56:38	51.424380000	-2.759541000	36.2	1.944	139		
T	2016-11-13 09:56:39	51.424396000	-2.759611000	36.2	1.949	139		
T	2016-11-13 09:56:48	51.424526000	-2.760319000	36.2	1.999	138		
T	2016-11-13 09:56:55	51.424653000	-2.761022000	36.2	2.048	137		
T	2016-11-13 09:56:58	51.424715000	-2.761352000	36.2	2.072	134		
T	2016-11-13 09:57:00	51.424761000	-2.761574000	35.8	2.088	133		
T	2016-11-13 09:57:01	51.424786000	-2.761689000	35.4	2.096	133		
T	2016-11-13 09:57:02	51.424813000	-2.761803000	34.8	2.105	133		
T	2016-11-13 09:57:03	51.424843000	-2.761915000	34.4	2.113	132		
T	2016-11-13 09:57:04	51.424878000	-2.762028000	34.0	2.122	132		
T	2016-11-13 09:57:09	51.425091000	-2.762542000	34.0	2.165	128		
T	2016-11-13 09:57:10	51.425138000	-2.762629000	34.0	2.173	127		
T	2016-11-13 09:57:13	51.425228000	-2.762926000	34.0	2.198	124		
T	2016-11-13 09:57:14	51.425200000	-2.763036000	34.0	2.206	122		
T	2016-11-13 09:57:17	51.425081000	-2.763362000	33.6	2.232	121		
T	2016-11-13 09:57:18	51.425059000	-2.763494000	33.2	2.241	121		
T	2016-11-13 09:57:19	51.425044000	-2.763639000	32.8	2.251	121		
T	2016-11-13 09:57:20	51.425055000	-2.763783000	32.4	2.260	121		
T	2016-11-13 09:57:21	51.425074000	-2.763924000	31.8	2.270	122		
T	2016-11-13 09:57:22	51.425102000	-2.764066000	31.2	2.280	122		
T	2016-11-13 09:57:23	51.425138000	-2.764196000	30.8	2.290	122		
T	2016-11-13 09:57:24	51.425171000	-2.764320000	30.2	2.299	122		
T	2016-11-13 09:57:25	51.425213000	-2.764448000	29.6	2.309	121		
T	2016-11-13 09:57:28	51.425308000	-2.764807000	29.6	2.337	121		
T	2016-11-13 09:57:35	51.425517000	-2.765655000	29.6	2.401	123		
T	2016-11-13 09:57:40	51.425547000	-2.766279000	29.6	2.444	126		
T	2016-11-13 09:57:41	51.425538000	-2.766399000	29.6	2.453	127		
